,occurrence_id,classification,type of occurrence,localization,fu,country,aerodrome,occurrence_day,time,under_investigation,investigating_command,investigation_status,report_number,published_report,publication_day,recommendation_amount,aircrafts_involved,takeoff,extraction_day
0,47965,ACCIDENT,ENGINE FAILURE DURING THE FLIGHT,ARIQUEMES,Rondonia,BRAZIL,SJOG,2013-05-05,11:00:00,UNKNOWN,SERIPA-7,,,,,0,1,,2016-07-30
1,50313,SERIOUS INCIDENT,LANDING WITHOUT LANDING GEAR,CACOAL,Rondonia,BRAZIL,SSKW,2013-11-25,12:32:00,YES,SERIPA-7,FINISHED,,1.0,2014-04-07,0,1,,2016-07-30
2,34078,ACCIDENT,LOSS OF CONTROL ON THE GROUND,CEREJEIRAS,Rondonia,BRAZIL,****,2008-08-07,15:10:00,YES,SERIPA-7,FINISHED,,1.0,2016-07-07,0,1,1.0,2016-07-30
3,44988,ACCIDENT,SLOW LANDING,AMAJARI,Roraima,BRAZIL,****,2011-08-11,17:00:00,YES,SERIPA-7,FINISHED,,1.0,2012-09-20,4,1,,2016-07-30
4,38855,ACCIDENT,LOSS OF CONTROL IN THE AIR,ACEGUÁ,Rio Grande do Sul,BRAZIL,****,2009-12-28,17:30:00,YES,SERIPA-5,IN PROGRESS,UNDEFINED,,,0,1,,2016-07-30
5,46633,ACCIDENT,ENGINE FAILURE DURING THE FLIGHT,ABADIA DE GOIÁS,Goias,BRAZIL,****,2012-11-15,12:40:00,UNKNOWN,SERIPA-6,,,,,0,1,,2016-07-30
6,43063,ACCIDENT,LOSS OF CONTROL IN THE AIR,ALTO ALEGRE,Roraima,BRAZIL,****,2010-09-21,17:10:00,YES,SERIPA-7,FINISHED,,1.0,2012-06-04,2,1,,2016-07-30
7,45280,ACCIDENT,ENGINE FAILURE DURING THE FLIGHT,ALTO ALEGRE,Roraima,BRAZIL,****,2011-11-22,16:40:00,YES,SERIPA-1,FINISHED,,1.0,2013-08-22,2,1,,2016-07-30
8,34515,ACCIDENT,ENGINE FAILURE DURING THE FLIGHT,ALTO ALEGRE,Roraima,BRAZIL,****,2008-11-16,12:25:00,YES,SERIPA-7,FINISHED,,1.0,2016-03-18,3,1,,2016-07-30
9,45940,ACCIDENT,UNKNOWN,ALTO ALEGRE,Roraima,BRAZIL,****,2010-06-09,13:00:00,YES,SERIPA-7,IN PROGRESS,UNDEFINED,,,0,1,,2016-07-30
